Id,Label,timeset,subactivity,mainindustry,componentnumber,modularity_class,mainactivity,clustering,triangles,Degree,Weighted Degree,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality,eigencentrality
7415,,,"Management activities of other non-financial holding companies,production holding companies, construction holding companies, wholesale holding companies, motor trades holding companies, retail holding companies",Buisness activities,0,5,Other Business Activities,0.036565,43,49,17.987916,5,0.431902,0.501136,12096.66408,0.782153
7450,,,Labour recruitment and provision of personnel,Buisness activities,0,0,Other Business Activities,0.046122,66,54,10.225564,5,0.430318,0.501515,11146.36915,1
4521,,,Construction of commercial buildings,Construction,0,4,Construction,0.086207,35,29,13.574289,5,0.37931,0.431676,4883.101412,0.436219
7487,,,Other business activities not elsewhere classified,Buisness activities,0,3,Other Business Activities,0.168091,59,27,12.781887,5,0.394619,0.447964,3909.716203,0.73418
7484,,,,,0,3,,0.108374,44,29,10.575407,5,0.400455,0.452462,3724.816332,0.690065
5540,,,"Licensed clubs,Independent public houses and bars,Tenanted public houses and bars,Managed public houses and bars",Hotels and Restaurants,0,1,Hotels and Restaurants,0.118227,48,29,9.867187,5,0.353769,0.410843,3215.390186,0.490783
5211,,,"Retail sale by confectioners, tobacconists and newsagents (CTNs), non-specialised stores holding an alcohol licence, with food, beverages or tobacco predominating",Retail,0,1,"Retail Trade, Not Motors; Repairs",0.05848,10,19,4.994124,6,0.337488,0.383428,3106.619697,0.244492
5248,,,"Retail sale of photographic, optical and precision equipment, office supplies and equipment (incl. computers),Retail sale of sports goods, games and toys, stamps and coins, Retail sale of mobile telephones",Retail,0,9,"Retail Trade, Not Motors; Repairs",0.108374,44,29,10.764268,6,0.358452,0.415294,2942.465496,0.522376
6024,,,"Freight transport by road n.e.c.,Furniture removal activities",Transport,0,0,Transport,0.07619,16,21,8.82349,5,0.362513,0.409186,2884.510128,0.315473
3430,,,Manufacture of parts and accessories for motor vehicles and their engines,Manufacture of Transport Equipment,0,7,Manufacture of Transport Equipment,0.105263,20,20,12.35657,5,0.374867,0.420597,2583.546427,0.333068
7420,,,"Architectural,Urban planning and landscape architectural activities, Engineering design activities for industrial process and production, Engineering related scientific and technical consulting activities,Engineering consultative and design activities",Buisness activities,0,4,Other Business Activities,0.15,45,25,9.467135,5,0.372487,0.423248,2529.924992,0.556024
2222,,,Other printing,Manufacture Paper; Publishing; Printing,0,9,Manufacture Paper; Publishing; Printing,0.10989,10,14,9.838791,6,0.315978,0.352509,2359.583365,0.180051
5147,,,"""Wholesale of photographic goods",Retail,0,9,Wholesale of other household goods n.e.c.,0.138528,32,22,12.044951,5,0.361396,0.409754,2048.426315,0.457253
5165,,,,,0,7,,0.103896,24,22,11.960225,5,0.358087,0.406297,1858.48071,0.366828
2852,,,General mechanical engineering,Metals,0,7,"Manufacture Fabricated Metal, Not Machines",0.161765,22,17,11.261939,5,0.332389,0.375994,1823.587717,0.23578
5242,,,"Retail sale of adults' fur and leather clothing, children's and infants' clothing, other women's clothing, other men's clothing",Retail,0,5,"Retail Trade, Not Motors; Repairs",0.197628,50,23,8.673566,5,0.365524,0.415294,1806.0668,0.475371
130,,,Growing of crops combined with farming of animals (mixed farming),"Agriculture, Hunting and Forestry",0,10,"Agriculture, Hunting and Forestry",0.027778,1,9,8.116903,6,0.282731,0.312216,1692.387074,0.04408
1589,,,Manufacture of soups Manufacture of other food products n.e.c.,Manufacture of Food,0,2,Manufacture of Food; Beverages & Tobacco,0.153846,14,14,11.941884,5,0.34886,0.389299,1691.085981,0.225982
9133,,,Activities of other membership organizations n.e.c.,Services,0,3,Membership Organisations,0.133333,16,16,5.654181,5,0.338462,0.380729,1669.231914,0.259272
8010,,,Primary education,Gouverment,0,3,Education,0.139706,19,17,3.546674,6,0.292602,0.336222,1651.844158,0.137054
6312,,,"Storage and warehousing of frozen and refrigerated goods, liquids or gases, Storage and warehousing of grain, Storage and warehousing n.e.c.",Transport,0,0,Transport,0.116667,14,16,8.930528,5,0.3717,0.413352,1621.818316,0.337333
3320,,,"Manufacture of electronic instruments and appliances for measuring, checking, testing, navigating and other purposes, except industrial process control equipment","Manufacture of Machinery, Electrical",0,7,Manufacture Medical & Precision Instruments,0.142857,30,21,13.359271,5,0.354481,0.403598,1543.768601,0.424323
7414,,,"Business and management consultancy activities, n.e.c.",Buisness activities,0,3,Other Business Activities,0.215385,70,26,11.228167,5,0.380541,0.431155,1536.556744,0.735387
7310,,,Research and experimental development on natural sciences and engineering,Research and Development,0,8,Research and Development,0.114286,12,15,8.541378,5,0.354839,0.393608,1487.355207,0.30603
7222,,,Other software consultancy and supply,Computer and Related Activities,0,9,Computer and Related Activities,0.205534,52,23,13.824523,6,0.365524,0.414205,1485.401768,0.575996
1513,,,"Bacon and ham production,Other meat and poultry meat processing",Manufacture of Food,0,2,Manufacture of Food; Beverages & Tobacco,0.131868,12,14,11.53757,6,0.32264,0.362737,1474.696166,0.165373
7470,,,"Traditional cleaning services,Window cleaning services,Specialised cleaning services,Furnace and chimney cleaning services,Cleaning activities not elsewhere classified,Disinfecting and exterminating services",Buisness activities,0,1,Other Business Activities,0.142857,30,21,7.449061,5,0.347826,0.392519,1458.146985,0.353596
1421,,,Operation of gravel and sand pits,Minning,0,5,Mining and Quarrying,0.047619,1,7,6.360415,5,0.330206,0.358428,1432.398858,0.120907
4531,,,Installation of electrical wiring and fittings,Construction,0,7,Construction,0.157895,30,20,9.499051,5,0.358452,0.404309,1419.024977,0.442807
5153,,,"Wholesale of wood, construction materials and sanitary equipment",Retail,0,4,Wholesale of other household goods n.e.c.,0.153846,14,14,9.942916,6,0.326228,0.363684,1368.690072,0.165382
5244,,,"Retail sale of furniture, lighting equipment and household articles n.e.c.",Retail,0,4,"Retail Trade, Not Motors; Repairs",0.166667,20,16,9.617179,5,0.338787,0.37893,1337.445544,0.279026
5030,,,Sale of motor vehicle parts and accessories,Construction,0,6,Construction,0.155556,7,10,5.962411,6,0.326228,0.362879,1314.529149,0.166578
2524,,,Manufacture of other plastic products,Manufacture Chemicals/Plastics,0,7,Manufacture of Rubber & Plastic Products,0.095238,10,15,11.933708,6,0.317403,0.359422,1272.680626,0.17973
2811,,,Manufacture of metal structures and parts of structures,Metals,0,4,"Manufacture Fabricated Metal, Not Machines",0.163636,9,11,8.038483,5,0.323827,0.360417,1250.138437,0.17625
6713,,,Activities auxiliary to financial intermediation n.e.c.,Finance,0,3,Finance,0.330882,45,17,9.055244,5,0.361396,0.40464,1204.352906,0.456909
7032,,,Management of real estate on a fee or contract basis,Buisness activities,0,3,"Real Estate, Renting & Business",0.190476,20,15,8.672244,5,0.340755,0.380871,1123.358271,0.335206
9262,,,Other sporting activities not elsewhere classified,Services,0,1,"Recreational, Cultural & Sporting",0.285714,30,15,6.530747,5,0.342412,0.382812,1105.512708,0.333946
6330,,,"Activities of travel agencies, organisers,tour guides,Other tourist assistance activities n.e.c.",Transport,0,0,Transport,0.111111,5,10,4.127335,5,0.34817,0.38215,1057.562063,0.221005
2940,,,,,0,7,,0.2,3,6,5.656283,6,0.254335,0.279025,1050,0.036319
2442,,,Manufacture of medicaments,Manufacture Chemicals/Plastics,0,8,"Manufacture Chemicals, Prods & Man-Made",0.109091,6,11,8.988049,6,0.322344,0.355824,1009.164949,0.147028
2416,,,Manufacture of plastics in primary forms,Manufacture Chemicals/Plastics,0,8,"Manufacture Chemicals, Prods & Man-Made",0.177778,8,10,8.045902,5,0.346457,0.382386,1003.420653,0.205559
9305,,,Other service activities n.e.c.,Services,0,3,Other Service Activities,0.30303,20,12,4.942446,5,0.372093,0.40928,1002.708488,0.417159
5020,,,Maintenance and repair of motor vehicles,Construction,0,6,Construction,0.136364,9,12,6.469541,5,0.33145,0.366998,909.572774,0.174881
7011,,,Development and selling of real estate,Buisness activities,0,3,"Real Estate, Renting & Business",0.266667,12,10,4.295292,5,0.366667,0.400994,904.105295,0.292745
2523,,,"Manufacture of plastic floor covering,Manufacture of other builders' ware of plastic",Manufacture Chemicals/Plastics,0,4,Manufacture of Rubber & Plastic Products,0.155556,7,10,8.053363,6,0.322344,0.358191,893.865053,0.136176
8042,,,Other adult and other education n.e.c.,Gouverment,0,3,Education,0.311111,14,10,2.632569,6,0.338787,0.37571,882.383898,0.251746
8532,,,"Charitable social work activities without accommodation,Non-charitable social work activities without accommodation",Gouverment,0,3,Health and Social Work,0.164835,15,14,4.886029,6,0.314286,0.354451,870.66937,0.202428
4100,,,"Collection, purification and distribution of water","Electricity, Gas and Water Supply",0,0,"Electricity, Gas and Water Supply",0.095238,2,7,4.439328,5,0.333966,0.362453,861.118153,0.115083
5139,,,"Non-specialised wholesale of food, beverages and tobacco",Retail,0,2,"Wholesale, Retail; Certain Repair (cont.)",0.095238,2,7,4.486817,6,0.303972,0.335275,856.88383,0.098185
7440,,,"Planning, creation and placement of advertising activities, Advertising activities not elsewhere classified,Sale or leasing activities of advertising space or time",Buisness activities,0,3,Other Business Activities,0.291667,35,16,7.009648,5,0.374468,0.416146,840.677958,0.510574
7412,,,"Accounting and auditing activities,Book-keeping activities,Tax consultancy",Buisness activities,0,3,Other Business Activities,0.393939,26,12,4.301191,6,0.325023,0.361648,827.454544,0.327199
4010,,,,,0,0,,0.083333,3,9,5.272703,5,0.334919,0.367282,819.655013,0.151814
2212,,,Publishing of newspapers,Manufacture Paper; Publishing; Printing,0,3,Manufacture Paper; Publishing; Printing,0.285714,8,8,4.671342,5,0.343415,0.376515,804.592648,0.217924
3220,,,Manufacture of telegraph and telephone apparatus and equipment,"Manufacture of Machinery, Electrical",0,7,"Manufacture of Radio, TV & Equipment",0.179487,14,13,9.277176,5,0.324125,0.362831,789.712017,0.25649
6512,,,"Banks,Building societies",Finance,0,3,Finance,0.285714,8,8,4.28463,6,0.290909,0.316193,771.737544,0.124893
3120,,,Manufacture of electricity distribution and control apparatus,"Manufacture of Machinery, Electrical",0,7,Manufacture of Electrical Machinery etc.,0.197802,18,14,10.053315,5,0.350249,0.389725,770.634069,0.286142
8514,,,Other human health activities,Gouverment,0,8,Health and Social Work,0.177778,8,10,3.640178,6,0.324424,0.358996,759.264893,0.157545
6522,,,"Credit granting by non-deposit taking finance houses and other specialist consumer credit grantors,Activities of mortgage finance companies,Other credit granting not elsewhere classified",Finance,0,3,Finance,0.320513,25,13,6.532945,5,0.32928,0.363873,757.982609,0.24734
4020,,,,,0,7,,0,0,3,1.861353,5,0.313725,0.338021,729.559412,0.086826
4533,,,Plumbing,Construction,0,7,Construction,0.2,9,10,5.830506,5,0.335238,0.368182,727.247505,0.17135
6523,,,"""Activities of bank holding companies Financial intermediation not elsewhere classified""",Finance,0,3,Finance,0.545455,30,11,6.105167,5,0.355915,0.393134,707.71745,0.362757
2931,,,Manufacture of agricultural tractors,"Manufacture of Machinery, Electrical",0,4,Manufacture of Machinery & Equipment,0,0,2,1.671425,6,0.276078,0.295312,700,0.034445
7511,,,General (overall) public service activities,Gouverment,0,3,Public Administration & Defence,0.121212,8,12,6.089016,6,0.268908,0.306581,657.009052,0.076225
6340,,,Activities of other transport agencies,Transport,0,0,Transport,0.138889,5,9,6.909612,6,0.329588,0.362453,634.710822,0.153801
2430,,,"Manufacture of paints, varnishes and similar coatings, Manufacture of mastics and sealants,Manufacture of printing ink",Manufacture Chemicals/Plastics,0,8,"Manufacture Chemicals, Prods & Man-Made",0.1,1,5,4.093182,6,0.309859,0.337405,613.127342,0.077306
5510,,,Hotels and motels with restaurant (licensed and unlicensed) and without restaurant,Hotels and Restaurants,0,1,Hotels and Restaurants,0.409091,27,12,5.358868,6,0.361026,0.399669,612.922267,0.379542
9000,,,,,0,0,,0.095238,2,7,4.902977,5,0.31178,0.340578,609.293241,0.095343
7512,,,"Regulation of the activities of agencies that provide health care, education, cultural services and other social services, excluding social security",Gouverment,0,3,Public Administration & Defence,0.133333,6,10,3.133148,5,0.306087,0.339678,585.165417,0.111711
2521,,,"Manufacture of plastic plates, sheets, tubes and profiles",Manufacture Chemicals/Plastics,0,7,Manufacture of Rubber & Plastic Products,0.321429,9,8,6.296557,6,0.34308,0.377509,582.567088,0.187626
4525,,,Other construction work involving special trades,Construction,0,4,Construction,0.25,9,9,5.448045,5,0.330516,0.362784,580.920684,0.190507
2414,,,Manufacture of other organic basic chemicals,Manufacture Chemicals/Plastics,0,8,"Manufacture Chemicals, Prods & Man-Made",0.142857,3,7,6.232937,6,0.326228,0.355256,577.912331,0.115848
7460,,,Security and related activities,Buisness activities,0,1,Other Business Activities,0.25,9,9,2.470622,5,0.352,0.386364,573.405389,0.278207
5142,,,"Wholesale of adults' fur and leather clothing,Wholesale of children's and infants' clothing,Wholesale of footwear, Wholesale of clothing n.e.c.",Retail,0,5,"Wholesale, Retail; Certain Repair (cont.)",0.277778,10,9,6.468307,6,0.332703,0.366051,555.193176,0.187083
9261,,,"Operation of ice rinks and roller skating rinks,Operation of other sports arenas and stadiums not elsewhere classified",Services,0,1,"Recreational, Cultural & Sporting",0.416667,15,9,4.943669,6,0.298052,0.334612,534.151109,0.161042
5245,,,Retail sale of electrical household appliances and radio and television goods,Retail,0,9,"Retail Trade, Not Motors; Repairs",0.212121,14,12,4.643775,6,0.337488,0.375994,523.120659,0.279208
5170,,,,,0,7,,0.194444,7,9,5.461049,6,0.335238,0.370597,520.158764,0.189592
5530,,,"Licensed restaurants,Unlicensed restaurants and cafes,Take-away food shops,Take-away mobile food stands",Hotels and Restaurants,0,1,Hotels and Restaurants,0.294118,40,17,5.715143,6,0.330206,0.373627,509.5612,0.343013
9272,,,Other recreational activities not elsewhere classified,Services,0,1,"Recreational, Cultural & Sporting",0.285714,6,7,4.083883,6,0.298558,0.332244,506.415782,0.112171
5190,,,Other wholesale,Retail,0,2,Wholesale of other household goods n.e.c.,0.266667,4,6,3.9509,6,0.337488,0.368182,498.314605,0.161187
1822,,,Manufacture of other men's outerwear Manufacture of other women's outerwear,Manufacture of Textiles and Leather,0,5,Manufacture of Textiles & Textile Products,0.238095,5,7,5.427136,6,0.297046,0.325663,497.637227,0.104397
5164,,,,,0,9,,0.304762,32,15,10.804788,6,0.333649,0.374006,494.916124,0.343608
7260,,,Other computer related activities,Computer and Related Activities,0,9,Computer and Related Activities,0.346154,27,13,7.980232,5,0.368586,0.405587,492.49228,0.448556
5010,,,Sale of new and used motor vehicles,Construction,0,6,Construction,0.285714,6,7,4.074467,5,0.338462,0.365294,481.166816,0.13983
8022,,,Technical and vocational secondary education,Gouverment,0,3,Education,0.466667,7,6,2.203664,6,0.316547,0.347822,480.25544,0.130064
1581,,,Manufacture of bread; manufacture of fresh pastry goods and cakes,Manufacture of Food,0,2,Manufacture of Food; Beverages & Tobacco,0.25,9,9,4.693748,5,0.35736,0.391004,478.182394,0.241976
5233,,,Retail sale of cosmetic and toilet articles,Retail,0,5,"Retail Trade, Not Motors; Repairs",0.305556,11,9,5.722517,6,0.338462,0.37429,475.234218,0.230036
7031,,,Real estate agencies,Buisness activities,0,3,"Real Estate, Renting & Business",0.290909,16,11,4.370187,6,0.331762,0.366998,474.578113,0.278943
7230,,,Data processing,Computer and Related Activities,0,9,Computer and Related Activities,0.30303,20,12,7.123954,5,0.326531,0.362405,468.361243,0.29697
5511,,,,,0,1,,0.355556,16,10,4.562044,6,0.304762,0.339157,467.082791,0.188406
5212,,,Other retail sale in non-specialised stores,Retail,0,5,"Retail Trade, Not Motors; Repairs",0.222222,38,19,6.868275,6,0.325323,0.371544,456.882873,0.341999
8030,,,Sub-degree level higher education,Gouverment,0,3,Education,0.047619,1,7,3.176259,6,0.282958,0.309375,454.828416,0.068985
5050,,,Retail sale of automotive fuel,Construction,0,5,Construction,0.166667,6,9,4.808153,5,0.347826,0.381487,451.074821,0.220265
2956,,,Manufacture of other special purpose machinery n.e.c.,"Manufacture of Machinery, Electrical",0,7,Manufacture of Machinery & Equipment,0.214286,6,8,7.022132,6,0.288288,0.323437,448.495558,0.110511
3614,,,Manufacture of other furniture,Manufacture Other,0,4,Manufacturing nec,0.266667,4,6,4.601218,6,0.325323,0.355824,446.92052,0.143432
7483,,,,,0,3,,0,0,4,3.053753,5,0.320875,0.347254,431.45823,0.126359
2213,,,Publishing of journals and periodicals,Manufacture Paper; Publishing; Printing,0,3,Manufacture Paper; Publishing; Printing,0.422222,19,10,5.704545,5,0.353414,0.388778,421.961497,0.31426
5261,,,Retail sale via mail order houses,Retail,0,0,"Retail Trade, Not Motors; Repairs",0.272727,15,11,4.382911,5,0.376068,0.410085,420.063813,0.396727
5552,,,Catering,Hotels and Restaurants,0,1,Hotels and Restaurants,0.381818,21,11,4.040384,6,0.321461,0.358428,418.81715,0.241794
3410,,,Manufacture of motor vehicles,Manufacture of Transport Equipment,0,7,Manufacture of Transport Equipment,0.238095,5,7,4.000042,5,0.338462,0.368371,417.112607,0.14574
7132,,,Renting of construction and civil engineering machinery and equipment,Buisness activities,0,4,Renting Equipment Without Operator,0.285714,8,8,4.522073,5,0.362887,0.395928,416.511313,0.242291
6712,,,Security broking and fund management,Finance,0,3,Finance,0.5,33,12,5.456305,5,0.33652,0.374148,415.058511,0.323491
141,,,Agricultural service activities; landscape gardening,"Agriculture, Hunting and Forestry",0,10,"Agriculture, Hunting and Forestry",0,0,3,2.013976,6,0.298052,0.322917,413.106358,0.064698
4523,,,"Construction of motorways, roads, airfields and sport facilities",Construction,0,4,Construction,0.333333,12,9,4.516196,5,0.358452,0.392235,404.227199,0.262217
2522,,,Manufacture of plastic packing goods,Manufacture Chemicals/Plastics,0,9,Manufacture of Rubber & Plastic Products,0.166667,1,4,3.783864,7,0.268908,0.290415,399.413823,0.033352
3230,,,"Manufacture of television and radio receivers, sound or video recording or reproducing apparatus and associated goods","Manufacture of Machinery, Electrical",0,7,"Manufacture of Radio, TV & Equipment",0.355556,16,10,7.370826,5,0.352705,0.387879,399.338954,0.276182
5187,,,"Wholesale of other machinery for use in industry, trade and navigation",Retail,0,7,Wholesale of other household goods n.e.c.,0.190476,4,7,5.724067,6,0.326228,0.358049,388.754744,0.146335
9220,,,Radio activities,Services,0,3,"Recreational, Cultural & Sporting",0.333333,5,6,3.294949,6,0.301887,0.329167,384.793458,0.135848
5146,,,Wholesale of pharmaceutical goods,Retail,0,7,"Wholesale, Retail; Certain Repair (cont.)",0.25,9,9,5.565294,6,0.337488,0.372633,384.589391,0.1993
6323,,,Other supporting air transport activities,Transport,0,0,Transport,0.066667,1,6,3.665556,5,0.328665,0.358002,381.301455,0.149434
7486,,,Call centre activities,Buisness activities,0,0,Other Business Activities,0.218182,12,11,8.031016,5,0.352352,0.388352,376.375855,0.331817
7220,,,,,0,9,,0.285714,26,14,7.448739,5,0.332703,0.372112,375.402276,0.364707
2710,,,Manufacture of basic iron and steel and of ferro-alloys,Metals,0,4,Basic Metals & Fabricated Products,0,0,3,2.637164,6,0.245467,0.263116,373.826779,0.017355
5523,,,"Holiday centres and holiday villages, Other self-catering holiday accommodation,Other tourist or short-stay accommodation",Hotels and Restaurants,0,1,Hotels and Restaurants,0,0,3,1.668245,6,0.280926,0.305019,370.64228,0.057096
2952,,,Manufacture of machinery for mining,"Manufacture of Machinery, Electrical",0,7,Manufacture of Machinery & Equipment,0,0,5,4.589121,6,0.274357,0.29678,370.637934,0.040215
5247,,,"Retail sale of books, newspapers and stationery",Retail,0,9,"Retail Trade, Not Motors; Repairs",0.311111,14,10,4.255108,6,0.323827,0.360843,367.543429,0.256983
9112,,,Activities of professional organizations,Services,0,3,Membership Organisations,0,0,3,2.126888,7,0.251788,0.271618,359.499899,0.030282
